sno,tile,rgb,r*g*b,filtered
1,98_80.jpeg,"255,255,255",16581375,False
2,93_4.jpeg,"255,255,255",16581375,False
3,12_112.jpeg,"255,255,255",16581375,False
4,53_102.jpeg,"255,255,255",16581375,False
5,18_143.jpeg,"255,255,255",16581375,False
6,87_60.jpeg,"255,255,255",16581375,False
7,33_71.jpeg,"255,255,255",16581375,False
8,1_138.jpeg,"255,255,255",16581375,False
9,100_137.jpeg,"255,255,255",16581375,False
10,53_99.jpeg,"255,255,255",16581375,False
11,86_132.jpeg,"255,255,255",16581375,False
12,2_90.jpeg,"255,255,255",16581375,False
13,81_61.jpeg,"197,135,187",4973265,True
14,23_57.jpeg,"255,255,255",16581375,False
15,66_57.jpeg,"255,255,255",16581375,False
16,21_67.jpeg,"255,255,255",16581375,False
17,67_75.jpeg,"255,255,255",16581375,False
18,111_1.jpeg,"255,255,255",16581375,False
19,100_82.jpeg,"255,255,255",16581375,False
20,42_61.jpeg,"255,255,255",16581375,False
21,93_1.jpeg,"255,255,255",16581375,False
22,78_103.jpeg,"255,255,255",16581375,False
23,46_0.jpeg,"255,255,255",16581375,False
24,3_117.jpeg,"255,255,255",16581375,False
25,101_71.jpeg,"255,255,255",16581375,False
26,70_10.jpeg,"255,255,255",16581375,False
27,89_21.jpeg,"255,255,255",16581375,False
28,47_111.jpeg,"255,255,255",16581375,False
29,41_148.jpeg,"255,255,255",16581375,False
30,15_25.jpeg,"255,255,255",16581375,False
31,96_84.jpeg,"255,255,255",16581375,False
32,38_129.jpeg,"255,255,255",16581375,False
33,71_54.jpeg,"255,255,255",16581375,False
34,12_50.jpeg,"255,255,255",16581375,False
35,13_83.jpeg,"255,255,255",16581375,False
36,58_16.jpeg,"255,255,255",16581375,False
37,73_22.jpeg,"255,255,255",16581375,False
38,30_0.jpeg,"255,255,255",16581375,False
39,120_103.jpeg,"255,255,255",16581375,False
40,96_45.jpeg,"255,255,255",16581375,False
41,28_86.jpeg,"255,255,255",16581375,False
42,65_87.jpeg,"192,100,172",3302400,True
43,42_108.jpeg,"255,255,255",16581375,False
44,113_138.jpeg,"255,255,255",16581375,False
45,123_130.jpeg,"255,255,255",16581375,False
46,41_8.jpeg,"255,255,255",16581375,False
47,109_12.jpeg,"215,186,208",8317920,True
48,63_134.jpeg,"255,255,255",16581375,False
49,19_148.jpeg,"255,255,255",16581375,False
50,69_44.jpeg,"255,255,255",16581375,False
51,75_6.jpeg,"255,255,255",16581375,False
52,91_144.jpeg,"255,255,255",16581375,False
53,91_24.jpeg,"255,255,255",16581375,False
54,57_122.jpeg,"255,255,255",16581375,False
55,79_130.jpeg,"255,255,255",16581375,False
56,121_17.jpeg,"255,255,255",16581375,False
57,102_62.jpeg,"255,255,255",16581375,False
58,102_8.jpeg,"255,255,255",16581375,False
59,82_23.jpeg,"255,255,255",16581375,False
60,81_105.jpeg,"255,255,255",16581375,False
61,73_40.jpeg,"255,255,255",16581375,False
62,60_61.jpeg,"255,255,255",16581375,False
63,60_45.jpeg,"255,255,255",16581375,False
64,100_140.jpeg,"255,255,255",16581375,False
65,61_122.jpeg,"191,97,171",3168117,True
66,124_1.jpeg,"255,255,255",16581375,False
67,38_88.jpeg,"255,255,255",16581375,False
68,107_70.jpeg,"255,255,255",16581375,False
69,81_101.jpeg,"255,255,255",16581375,False
70,101_37.jpeg,"255,255,255",16581375,False
